rms,eventID,location,latitude,longitude,depth,magnitude,country,province,district,date,idsource
0.48,282992,Ege Denizi - [47.31 km] Gökçeada (Çanakkale),40.2465,25.1758,27.03,4.3,Türkiye,Çanakkale,Gökçeada,2014-12-02 20:15:17.080,NAF01
0.3,288850,Ege Denizi - [11.58 km] Gökçeada (Çanakkale),40.3083,26.0295,14.63,4.1,Türkiye,Çanakkale,Gökçeada,2015-02-02 04:41:04.420,NAF01
0.78,289348,Pülümür (Tunceli),39.4301,40.1351,13.01,4.3,Türkiye,Tunceli,Pülümür,2015-02-09 22:52:49.610,NAF03
0.39,291244,Aşkale (Erzurum),39.9063,40.844,1.58,3.8,Türkiye,Erzurum,Aşkale,2015-02-26 10:06:20.350,NAF03
0.5,293104,Kelkit (Gümüşhane),39.9718,39.6495,1.23,3.7,Türkiye,Gümüşhane,Kelkit,2015-03-26 19:01:45.620,NAF03
0.21,296496,Gerede (Bolu),40.8573,32.496,12.07,4.0,Türkiye,Bolu,Gerede,2015-05-02 12:45:58.040,NAF02
0.28,297084,Gemlik (Bursa),40.4195,29.1275,10.29,3.7,Türkiye,Bursa,Gemlik,2015-05-11 04:16:28.080,NAF01
0.2,302236,Sungurlu (Çorum),40.3588,34.3973,19.67,4.2145,Türkiye,Çorum,Sungurlu,2015-07-01 05:41:44.300,NAF04
0.45,302514,Sungurlu (Çorum),40.3533,34.3763,7.5,3.7,Türkiye,Çorum,Sungurlu,2015-07-05 02:24:01.540,NAF04
0.36,302627,Merkez (Düzce),40.8628,31.2816,13.41,3.8,Türkiye,Düzce,Merkez,2015-07-07 05:08:30.000,NAF02
0.36,304705,Ege Denizi - [05.54 km] Eceabat (Çanakkale),40.2488,26.2651,12.97,4.3,Türkiye,Çanakkale,Eceabat,2015-07-24 01:26:01.790,NAF01
0.14,304714,Ege Denizi - [05.41 km] Eceabat (Çanakkale),40.2473,26.2661,18.9,4.8,Türkiye,Çanakkale,Eceabat,2015-07-24 02:39:42.460,NAF01
0.18,304747,Ege Denizi - [04.30 km] Eceabat (Çanakkale),40.2425,26.2778,21.64,4.4,Türkiye,Çanakkale,Eceabat,2015-07-24 06:54:10.020,NAF01
0.52,307884,Marmara Denizi - [01.67 km] Merkez (Yalova),40.6748,29.2835,8.83,3.8,Türkiye,Yalova,Merkez,2015-08-13 01:01:28.800,NAF01
0.3,307942,Ege Denizi - [44.33 km] Gökçeada (Çanakkale),40.1861,25.1938,23.78,3.8,Türkiye,Çanakkale,Gökçeada,2015-08-14 00:30:36.590,NAF01
0.41,309046,Karlıova (Bingöl),39.3996,40.759,9.61,3.6,Türkiye,Bingöl,Karlıova,2015-08-18 04:40:54.830,NAF03
0.38,309681,Marmara Denizi - [13.77 km] Marmaraereğlisi (Tekirdağ),40.8478,27.9061,17.64,3.6,Türkiye,Tekirdağ,Marmaraereğlisi,2015-08-29 12:47:52.650,NAF01
0.17,313671,Ege Denizi - [52.63 km] Gökçeada (Çanakkale),40.1755,25.0938,13.84,4.2145,Türkiye,Çanakkale,Gökçeada,2015-10-16 15:14:58.230,NAF01
0.41,315392,Marmara Denizi - [17.95 km] Marmara (Balıkesir),40.8003,27.7446,13.04,4.4,Türkiye,Balıkesir,Marmara,2015-10-28 16:20:02.370,NAF01
0.28,315903,Marmara Denizi - Erdek Körfezi - [04.61 km] Biga (Çanakkale),40.3483,27.4025,8.55,3.7,Türkiye,Çanakkale,Biga,2015-11-05 12:29:36.720,NAF01
0.43,316686,Marmara Denizi - [16.66 km] Bakırköy (İstanbul),40.8181,28.7631,13.23,4.0,Türkiye,İstanbul,Bakırköy,2015-11-16 15:45:43.630,NAF01
0.45,319380,Marmara Denizi - Gemlik Körfezi - [02.84 km] Gemlik (Bursa),40.4376,29.0785,8.44,3.6,Türkiye,Bursa,Gemlik,2015-12-05 20:53:51.860,NAF01
0.26,319542,Marmara Denizi - [09.48 km] Şarköy (Tekirdağ),40.6818,27.4175,8.54,4.295450000000001,Türkiye,Tekirdağ,Şarköy,2015-12-07 20:57:51.340,NAF01
0.8,322182,Kemah (Erzincan),39.697,38.941,9.6,3.6,Türkiye,Erzincan,Kemah,2015-12-28 14:33:37.000,NAF03
0.34,323315,Çerkeş (Çankırı),40.6931,32.7601,10.02,3.7,Türkiye,Çankırı,Çerkeş,2016-01-18 05:46:33.590,NAF02
0.46,330040,Marmara Denizi - [11.47 km] Marmara (Balıkesir),40.7128,27.494,19.36,3.6,Türkiye,Balıkesir,Marmara,2016-03-28 17:23:46.840,NAF01
0.32,332879,Merkez (Kastamonu),41.0953,33.8253,3.05,3.7,Türkiye,Kastamonu,Merkez,2016-04-10 15:06:52.830,NAF02
0.34,335853,Merkez (Bolu),40.8536,31.7273,13.42,3.6,Türkiye,Bolu,Merkez,2016-05-01 02:55:31.700,NAF02
0.29,336362,Çayırlı (Erzincan),39.9081,39.8503,13.97,4.1,Türkiye,Erzincan,Çayırlı,2016-05-09 03:57:20.760,NAF03
0.69,338344,Karlıova (Bingöl),39.3665,40.8988,25.24,4.295450000000001,Türkiye,Bingöl,Karlıova,2016-05-25 11:40:57.750,NAF03
0.18,338649,Merkez (Çorum),40.4996,34.8448,17.12,3.8,Türkiye,Çorum,Merkez,2016-05-30 19:03:06.080,NAF04
0.36,339229,Gürsu (Bursa),40.259,29.1605,13.92,4.3,Türkiye,Bursa,Gürsu,2016-06-07 04:09:46.040,NAF01
0.51,341128,Yedisu (Bingöl),39.4001,40.675,18.29,4.1,Türkiye,Bingöl,Yedisu,2016-06-21 06:25:22.060,NAF03
0.36,342268,Marmara Denizi - [05.86 km] Çınarcık (Yalova),40.6985,29.2016,9.73,4.2,Türkiye,Yalova,Çınarcık,2016-06-25 05:40:11.870,NAF01
0.4,342608,Koyulhisar (Sivas),40.3215,37.883,17.03,3.6,Türkiye,Sivas,Koyulhisar,2016-06-29 21:31:06.240,NAF03
0.25,343791,Marmara Denizi - [05.00 km] Çınarcık (Yalova),40.697,29.1815,9.18,3.9,Türkiye,Yalova,Çınarcık,2016-07-17 08:55:41.750,NAF01
0.55,343907,Yedisu (Bingöl),39.38,40.5165,6.05,4.295450000000001,Türkiye,Bingöl,Yedisu,2016-07-19 09:39:46.010,NAF03
0.62,343942,Yedisu (Bingöl),39.3841,40.5283,18.92,3.7,Türkiye,Bingöl,Yedisu,2016-07-20 01:56:44.580,NAF03
0.49,349471,Gemlik (Bursa),40.4378,29.1608,10.12,3.7,Türkiye,Bursa,Gemlik,2016-09-22 02:47:19.120,NAF01
0.31,349611,Ege Denizi - [52.12 km] Gökçeada (Çanakkale),40.269,25.1256,14.62,3.8,Türkiye,Çanakkale,Gökçeada,2016-09-24 07:26:31.240,NAF01
0.29,351523,Çınarcık (Yalova),40.5948,28.9513,10.22,3.6,Türkiye,Yalova,Çınarcık,2016-10-08 23:02:47.000,NAF01
0.37,352119,Cumayeri (Düzce),40.9015,30.9221,9.87,3.6,Türkiye,Düzce,Cumayeri,2016-10-16 14:11:24.480,NAF01
0.21,353840,İskilip (Çorum),40.7508,34.2811,6.42,4.7,Türkiye,Çorum,İskilip,2016-11-02 11:57:42.470,NAF02
0.9,353841,İskilip (Çorum),40.781,34.3038,16.39,3.9,Türkiye,Çorum,İskilip,2016-11-02 12:02:53.760,NAF02
0.43,354177,Reşadiye (Tokat),40.498,37.2018,11.2,3.6,Türkiye,Tokat,Reşadiye,2016-11-08 15:55:08.700,NAF03
0.43,354961,Refahiye (Erzincan),39.9526,38.5926,6.36,4.0,Türkiye,Erzincan,Refahiye,2016-11-20 22:52:36.850,NAF03
0.28,354972,Refahiye (Erzincan),39.9516,38.5883,10.55,3.8,Türkiye,Erzincan,Refahiye,2016-11-21 07:20:56.720,NAF03
0.26,355508,Çerkeş (Çankırı),40.7593,32.7263,12.39,3.8,Türkiye,Çankırı,Çerkeş,2016-12-01 00:11:16.220,NAF02
0.29,356410,Merkez (Erzincan),39.5798,39.72,3.19,4.5,Türkiye,Erzincan,Merkez,2016-12-16 21:21:49.430,NAF03
0.9,365135,Merkez (Amasya),40.446,35.782,13.7,3.6,Türkiye,Amasya,Merkez,2017-03-10 01:42:42.000,NAF04
0.12,369441,Refahiye (Erzincan),39.753,38.6778,3.14,3.8,Türkiye,Erzincan,Refahiye,2017-04-23 12:12:41.620,NAF03
0.64,371338,Aşkale (Erzurum),40.0566,40.705,6.41,4.7,Türkiye,Erzurum,Aşkale,2017-05-11 17:58:02.220,NAF03
0.4,371389,Merkez (Sivas),40.17,37.0281,6.99,3.8,Türkiye,Sivas,Merkez,2017-05-11 21:06:47.010,NAF03
0.44,371393,Aşkale (Erzurum),40.0615,40.7281,16.35,3.9,Türkiye,Erzurum,Aşkale,2017-05-11 21:46:37.000,NAF03
0.33,372839,Merkez (Erzincan),39.7661,39.4746,8.46,4.1,Türkiye,Erzincan,Merkez,2017-05-20 11:05:01.130,NAF03
0.15,375383,Çekerek (Yozgat),40.0426,35.6378,10.0,3.9,Türkiye,Yozgat,Çekerek,2017-06-10 08:51:46.010,NAF04
0.19,380863,Mecitözü (Çorum),40.5203,35.3401,12.55,3.8,Türkiye,Çorum,Mecitözü,2017-07-13 09:19:05.840,NAF04
0.37,383005,Marmara Denizi - Gemlik Körfezi - [06.03 km] Armutlu (Yalova),40.4131,28.9943,10.71,3.6,Türkiye,Yalova,Armutlu,2017-07-25 15:21:10.230,NAF01
0.39,383208,Çerkeş (Çankırı),40.7348,32.88,10.65,3.8,Türkiye,Çankırı,Çerkeş,2017-07-26 04:50:05.780,NAF02
0.55,383447,Ege Denizi - [45.06 km] Gökçeada (Çanakkale),40.2238,25.195,32.94,4.1,Türkiye,Çanakkale,Gökçeada,2017-07-27 12:45:18.000,NAF01
0.42,386289,Kelkit (Gümüşhane),39.9381,39.6228,12.1,4.0,Türkiye,Gümüşhane,Kelkit,2017-08-10 15:19:26.830,NAF03
0.46,393639,Yapraklı (Çankırı),40.7723,33.8921,10.28,3.8,Türkiye,Çankırı,Yapraklı,2017-10-19 22:37:05.080,NAF02
