longitude,latitude,year,month,day,hour,minute,second,magnitude,depth
33.26,40.98,1936,9,22,11,56,56.0,5.2,60.0
40.43,39.94,1937,12,7,9,31,4.0,5.2,60.0
33.88,41.08,1938,5,31,19,34,54.0,5.2,60.0
40.0,39.41,1940,5,29,15,24,52.0,5.2,60.0
39.43,39.74,1941,11,12,10,4,59.0,6.0,70.0
34.44,40.82,1942,11,21,14,1,53.0,5.6,80.0
33.48,41.05,1946,1,21,11,25,32.0,5.4,60.0
29.02,40.23,1948,11,13,4,44,50.0,5.7,60.0
38.25,40.39,1948,12,8,7,59,22.4,5.3,100.0
40.57,39.58,1949,8,17,20,45,32.0,5.5,60.0
33.27,41.09,1951,8,13,22,58,52.0,5.2,80.0
40.46,39.37,1957,7,7,5,58,58.0,5.4,60.0
40.41,39.48,1958,1,14,13,34,49.0,5.4,60.0
35.4,40.1,1966,12,7,11,1,20.0,4.8,78.0
40.4,39.48,1968,3,13,0,53,42.0,4.5,71.0
40.594,39.3805,1971,5,24,18,32,14.0,4.6,62.4
41.0724,39.3286,1978,8,13,17,20,25.0,4.5,127.9
39.612,39.791,1992,3,13,22,47,50.0,4.8,66.1
40.152,39.474,1995,12,5,18,52,46.0,5.4,73.8
40.68,40.07,1998,7,7,11,28,19.0,4.2,75.0
31.261,40.794,1999,11,12,17,6,18.0,4.6,65.6
26.6,40.5,1900,2,7,0,0,0.0,5.0,10.0
29.26,40.43,1900,6,18,17,40,0.0,5.2,10.0
26.3,40.5,1900,7,12,2,5,0.0,4.9,10.0
30.1,40.44,1900,8,1,8,40,0.0,5.2,10.0
36.4,40.3,1900,8,6,13,25,0.0,5.3,10.0
30.1,40.44,1900,8,9,8,15,0.0,4.9,10.0
30.56,40.63,1900,9,7,4,45,0.0,4.8,10.0
38.0,40.27,1900,9,23,22,19,0.0,5.0,10.0
28.98,40.44,1900,12,2,21,30,0.0,4.9,10.0
36.6,40.7,1901,3,1,0,0,0.0,5.4,33.0
30.32,40.61,1901,4,20,18,0,0.0,5.3,10.0
37.21,40.31,1901,6,11,17,30,0.0,5.4,10.0
37.8,40.45,1901,9,14,0,0,0.0,5.1,10.0
38.09,40.51,1902,3,7,18,58,0.0,5.4,10.0
33.57,40.67,1902,3,9,7,46,0.0,5.6,10.0
38.8,40.3,1902,5,8,22,5,0.0,5.5,10.0
37.77,40.42,1902,6,13,7,35,0.0,4.8,10.0
28.75,40.3,1902,7,13,12,30,0.0,4.8,10.0
27.8,40.7,1902,7,14,23,17,0.0,5.5,10.0
27.8,40.7,1902,7,15,1,35,0.0,5.6,10.0
27.8,40.7,1902,7,15,2,10,0.0,5.6,10.0
32.5,41.1,1902,9,22,2,30,0.0,5.4,10.0
32.5,41.1,1902,11,24,6,0,0.0,4.9,10.0
41.1,40.0,1902,12,22,6,20,0.0,5.2,10.0
35.6,40.9,1903,4,27,18,10,0.0,4.8,10.0
29.0,40.65,1903,5,26,6,9,0.0,6.0,10.0
38.4,40.3,1904,2,16,3,45,0.0,5.4,10.0
38.58,40.35,1904,4,11,0,0,0.0,5.2,10.0
26.88,40.63,1904,9,19,0,0,0.0,5.2,10.0
29.0,40.2,1905,4,15,5,36,0.0,5.7,6.0
37.0,40.5,1905,5,15,0,0,0.0,5.2,10.0
28.3,40.6,1905,10,22,3,55,0.0,6.0,10.0
37.17,40.49,1907,3,28,0,0,0.0,5.2,10.0
30.48,40.72,1907,4,17,2,15,0.0,5.1,10.0
30.1,40.7,1907,8,21,0,0,0.0,5.6,15.0
38.0,39.8,1907,10,31,1,58,0.0,5.4,10.0
